Summary,Description,IssueType,Priority,Component
Set up Terraform remote state in S3,Configure S3 backend with DynamoDB locking for Terraform state management,Story,High,Infrastructure
Create IAM roles for EKS service accounts,Set up IRSA for pods needing AWS API access,Task,Medium,Infrastructure
Configure Datadog monitoring for prod,Set up Datadog agents and dashboards for production ECS services,Story,High,Monitoring
,Missing summary - this row should fail validation,Task,Medium,Infrastructure
Migrate Jenkins pipelines to GitHub Actions,Convert existing Jenkinsfiles to GitHub Actions workflows,Story,Medium,CI-CD
Set up Jira automation for sprint reports,Create automation rules to generate sprint velocity reports,Task,High,Jira-Admin
Implement SSL certificate rotation,Automate ACM certificate renewal and ALB listener updates,Story,Critical,Security
Create runbook for database failover,Document and script RDS Multi-AZ failover procedure,Task,,Operations
Configure VPN peering between AWS and Azure,Set up site-to-site VPN for hybrid cloud connectivity,Story,High,Networking
Deploy Prometheus and Grafana stack,Set up monitoring stack on EKS cluster with Helm charts,Story,,Monitoring
